date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:42	230009/230009	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Aug%202026%2018:12:42%20GMT	https://anthropos11.com/	C:/A2/static/s/Anthropos11/anthropos11.com/index.html	(from )
12:12:42	116/116	---MC-	200	added ('OK')	text/plain	date:Mon,%2024%20Aug%202026%2018:12:42%20GMT	https://anthropos11.com/robots.txt		(from )
12:12:43	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2024%20Aug%202026%2018:12:43%20GMT	https://anthropos11.com/xmlrpc.php	C:/A2/static/s/Anthropos11/anthropos11.com/xmlrpc.php	(from https://anthropos11.com/)
12:12:43	9231/9231	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2028%20Jul%202026%2018:58:08%20GMT	https://anthropos11.com/feed/	C:/A2/static/s/Anthropos11/anthropos11.com/feed/index.html	(from https://anthropos11.com/)
12:12:44	2132/2132	---MC-	200	added ('OK')	application/json	date:Mon,%2024%20Aug%202026%2018:12:43%20GMT	https://anthropos11.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fanthropos11.com%2F	C:/A2/static/s/Anthropos11/anthropos11.com/wp-json/oembed/1.0/embed1b8a.json	(from https://anthropos11.com/)
12:12:44	1783/1783	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2028%20Jul%202026%2018:58:08%20GMT	https://anthropos11.com/comments/feed/	C:/A2/static/s/Anthropos11/anthropos11.com/comments/feed/index.html	(from https://anthropos11.com/)
12:12:44	2286/2286	---MC-	200	added ('OK')	text/xml	date:Mon,%2024%20Aug%202026%2018:12:44%20GMT	https://anthropos11.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fanthropos11.com%2F&format=xml	C:/A2/static/s/Anthropos11/anthropos11.com/wp-json/oembed/1.0/embed9f1a	(from https://anthropos11.com/)
12:12:44	9427/9427	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20May%202026%2016:09:36%20GMT	https://anthropos11.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/A2/static/s/Anthropos11/anthropos11.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://anthropos11.com/)
12:12:46	23170/23170	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202026%2017:19:46%20GMT	https://anthropos11.com/wp-content/et-cache/380/et-divi-dynamic-tb-408-tb-447-tb-412-380.css?ver=1787591986	C:/A2/static/s/Anthropos11/anthropos11.com/wp-content/et-cache/380/et-divi-dynamic-tb-408-tb-447-tb-412-38099cc.css	(from https://anthropos11.com/)
12:12:51	1668/1668	---MC-	200	added ('OK')	application/json	date:Mon,%2024%20Aug%202026%2018:12:45%20GMT	https://anthropos11.com/wp-json/wp/v2/pages/380	C:/A2/static/s/Anthropos11/anthropos11.com/wp-json/wp/v2/pages/380.json	(from https://anthropos11.com/)
